"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","294.88","285.53","295.01","283.22","7.57M","1.29%"
"12/29/2022","291.12","283.18","295.50","281.01","9.56M","5.14%"
"12/28/2022","276.88","281.92","285.19","273.41","5.93M","-2.57%"
"12/27/2022","284.17","293.19","293.57","282.13","5.69M","-3.66%"
"12/23/2022","294.96","296.18","298.46","291.91","4.25M","-0.94%"
"12/22/2022","297.75","298.09","298.88","290.81","7.79M","-0.07%"
"12/21/2022","297.96","289.99","300.66","286.50","6.34M","3.39%"
"12/20/2022","288.19","281.24","289.28","280.81","6.77M","-0.04%"
"12/19/2022","288.30","289.73","292.25","286.13","6.14M","-0.83%"
"12/16/2022","290.71","288.76","294.72","288.70","14.08M","0.10%"
"12/15/2022","290.41","302.12","303.39","286.55","17.62M","-8.63%"
"12/14/2022","317.83","318.97","324.71","314.42","7.54M","-0.78%"
"12/13/2022","320.34","328.00","332.72","317.20","10.74M","1.64%"
"12/12/2022","315.18","320.00","323.18","308.85","9.91M","-1.51%"
"12/09/2022","320.01","321.45","329.00","319.52","14.36M","3.14%"
"12/08/2022","310.26","309.11","312.38","304.81","7.17M","0.60%"
"12/07/2022","308.42","306.50","309.61","302.10","7.76M","0.94%"
"12/06/2022","305.56","311.00","313.22","303.13","7.17M","-2.25%"
"12/05/2022","312.59","316.46","322.77","310.92","8.30M","-2.44%"
"12/02/2022","320.41","310.49","321.99","310.00","12.69M","1.09%"
"12/01/2022","316.95","303.99","319.80","303.03","14.66M","3.74%"
"11/30/2022","305.53","281.37","308.26","280.41","16.07M","8.75%"
"11/29/2022","280.96","282.50","282.96","275.94","5.79M","-0.07%"
"11/28/2022","281.17","284.00","289.55","280.53","4.71M","-1.53%"
"11/25/2022","285.54","289.00","289.21","284.17","3.24M","-2.04%"
"11/23/2022","291.50","285.91","292.47","283.76","5.92M","1.68%"
"11/22/2022","286.69","284.99","286.98","277.34","6.25M","0.58%"
"11/21/2022","285.05","291.00","291.87","282.66","7.26M","-1.02%"
"11/18/2022","287.98","297.33","298.00","287.00","8.40M","-2.47%"
"11/17/2022","295.28","294.72","299.82","291.00","9.84M","-3.51%"
"11/16/2022","306.02","309.94","310.49","303.61","8.04M","-1.35%"
"11/15/2022","310.20","309.20","312.71","302.55","14.63M","3.65%"
"11/14/2022","299.27","290.00","311.00","288.19","17.97M","3.15%"
"11/11/2022","290.13","274.47","290.66","271.56","9.57M","5.51%"
"11/10/2022","274.97","265.99","275.36","260.09","9.67M","7.98%"
"11/09/2022","254.66","259.66","260.90","254.22","7.27M","-3.34%"
"11/08/2022","263.46","259.92","266.08","256.88","7.68M","1.88%"
"11/07/2022","258.60","261.06","261.15","252.09","7.93M","-0.84%"
"11/04/2022","260.79","272.02","274.97","255.32","11.12M","-3.07%"
"11/03/2022","269.06","271.25","276.29","268.80","7.06M","-1.44%"
"11/02/2022","273.00","286.40","287.33","272.84","10.37M","-4.80%"
"11/01/2022","286.75","296.17","299.70","286.42","6.92M","-1.76%"
"10/31/2022","291.88","295.13","297.62","289.50","7.51M","-1.30%"
